Name,Number,Pos,HT,WT,Age,Exp,College
Nick Allegretti,67,G,6-4,320.0,29.0,7,Illinois
Kazmeir Allen,24,RB,5-8,176.0,25.0,1,UCLA
Dorance Armstrong,92,DE,6-4,255.0,27.0,8,Kansas
Kam Arnold,46,LB,6-1,229.0,,R,Boston College
Ricky Barber,66,DT,6-3,295.0,,R,UCF
John Bates,87,TE,6-6,259.0,27.0,5,Boise State
Nick Bellore,57,LB,6-1,250.0,36.0,15,Central Michigan
Tyler Biadasz,63,C,6-4,318.0,27.0,6,Wisconsin
Ja'Corey Brooks,16,WR,6-3,195.0,23.0,R,Louisville
Noah Brown,85,WR,6-2,225.0,29.0,9,Ohio State
Percy Butler,35,S,6-0,191.0,25.0,4,Louisiana
Lawrence Cager,89,WR,6-5,220.0,27.0,4,Georgia
Brandon Coleman,74,T,6-6,320.0,24.0,2,TCU
Josh Conerly Jr.,72,T,6-4,315.0,21.0,R,Oregon
Sam Cosmi,76,G,6-6,309.0,26.0,5,Texas
Jacory Croskey-Merritt,32,RB,5-11,208.0,24.0,R,Arizona
Fentrell Cypress II,24,CB,6-0,187.0,24.0,R,Florida State
Jayden Daniels,5,QB,6-4,210.0,24.0,2,LSU
Carl Davis,77,DE,6-5,320.0,33.0,9,Iowa
Sheldon Day,98,DT,6-1,285.0,30.0,9,Notre Dame
Michael Deiter,60,G,6-6,310.0,28.0,7,Wisconsin
Austin Ekeler,30,RB,5-9,200.0,30.0,9,Western State
Zach Ertz,86,TE,6-5,250.0,34.0,13,Stanford
Viliami Fehoko Jr.,93,DE,6-4,267.0,25.0,2,San Jose State
Demetric Felton,25,RB,5-9,190.0,26.0,3,UCLA
Clelin Ferrell,99,DE,6-4,265.0,28.0,7,Clemson
Michael Gallup,12,WR,6-1,205.0,29.0,7,Colorado State
Matt Gay,16,K,6-0,232.0,31.0,7,Utah
Allan George,38,CB,6-1,195.0,25.0,1,Vanderbilt
Eddie Goldman,97,DT,6-3,332.0,31.0,8,Florida State
Julian Good-Jones,61,G,6-5,313.0,28.0,2,Iowa State
Dominique Hampton,45,S,6-3,220.0,24.0,2,Washington
Will Harris,3,FS,6-1,207.0,29.0,7,Boston College
Bobby Hart,51,OT,6-4,334.0,30.0,9,Florida State
Sam Hartman,15,QB,6-1,209.0,25.0,1,Notre Dame
Nate Herbig,53,G,6-4,334.0,26.0,7,Stanford
Jalyn Holmes,96,DT,6-5,283.0,29.0,6,Ohio State
Noah Igbinoghene,6,CB,5-11,197.0,25.0,6,Auburn
Tyree Jackson,80,TE,6-7,249.0,27.0,3,Buffalo
Javontae Jean-Baptiste,90,DE,6-5,260.0,25.0,2,Notre Dame
Josh Johnson,14,QB,6-3,219.0,39.0,11,San Diego
Andre Jones Jr.,50,DE,6-5,258.0,26.0,2,Louisiana
Jacoby Jones,10,WR,6-3,228.0,23.0,R,UCF
Jonathan Jones,31,CB,5-10,190.0,31.0,10,Auburn
Ale Kaho,51,LB,6-2,230.0,,R,UCLA
Javon Kinlaw,52,DT,6-5,319.0,27.0,6,South Carolina
Jaylin Lane,83,WR,5-10,196.0,23.0,R,Virginia Tech
Marshon Lattimore,2,CB,6-0,192.0,29.0,9,Ohio State
Frankie Luvu,4,LB,6-3,236.0,28.0,8,Washington State
Jordan Magee,58,LB,6-3,226.0,24.0,2,Temple
Marcus Mariota,18,QB,6-4,222.0,31.0,11,Oregon
Jacob Martin,55,LB,6-2,242.0,29.0,8,Temple
Quan Martin,20,DB,6-0,195.0,25.0,3,Illinois
Luke McCaffrey,11,WR,6-2,198.0,24.0,2,Rice
Robert McDaniel,47,DB,6-2,207.0,24.0,R,Jackson State University
Timothy McKay,68,OT,6-4,312.0,,R,North Carolina
Terry McLaurin,17,WR,6-0,210.0,29.0,7,Ohio State
Jeremy McNichols,26,RB,5-9,214.0,29.0,5,Boise State
Kain Medrano,56,LB,6-3,230.0,24.0,R,UCLA
Chris Moore,19,WR,6-1,200.0,31.0,9,Cincinnati
Jer'Zhan Newton,95,DT,6-2,295.0,22.0,2,Illinois
Ben Nikkel,48,S,6-1,210.0,24.0,1,Iowa State
K.J. Osborn,13,WR,5-11,203.0,27.0,6,Miami
Tyler Ott,69,LS,6-3,252.0,33.0,11,Harvard
Tyler Owens,40,S,6-2,213.0,24.0,2,Texas Tech
Chris Paul,75,G,6-4,324.0,26.0,4,Tulsa
Daron Payne,94,DT,6-3,320.0,28.0,8,Alabama
Norell Pollard,64,DT,6-1,260.0,25.0,2,Virginia Tech
Bobby Price,37,CB,6-4,205.0,27.0,5,Norfolk State
Jeremy Reaves,39,S,5-11,200.0,28.0,6,South Alabama
Brian Robinson Jr.,8,RB,6-1,228.0,26.0,4,Alabama
Chris Rodriguez Jr.,36,RB,5-11,224.0,25.0,3,Kentucky
Trey Rucker,34,,,,,R,Oklahoma State
Mike Sainristil,0,CB,5-10,182.0,24.0,2,Michigan
Deebo Samuel,1,WR,6-0,215.0,29.0,7,South Carolina
Foster Sarell,79,OT,6-7,315.0,26.0,4,Stanford
Trent Scott,73,T,6-5,320.0,31.0,8,Grambling State
Kevon Seymour,29,CB,6-0,185.0,31.0,8,USC
Ben Sinnott,82,TE,6-4,247.0,22.0,2,Kansas State
Michael Strachan,84,RB,6-0,195.0,72.0,6,Iowa State
Laremy Tunsil,78,T,6-5,316.0,30.0,10,Mississippi
Cole Turner,88,TE,6-6,240.0,25.0,3,Nevada
Car'lin Vigers,22,DB,6-2,200.0,24.0,R,Louisiana-Monroe
Bobby Wagner,54,LB,6-0,241.0,34.0,14,Utah State
Tress Way,10,P,6-1,220.0,35.0,12,Oklahoma
Michael Wiley,34,RB,5-10,209.0,23.0,1,Arizona
Deatrich Wise,91,DT,6-5,271.0,30.0,9,Arkansas
Andrew Wylie,71,G/T,6-6,309.0,30.0,8,Eastern Michigan
Colson Yankoff,41,TE,6-4,225.0,25.0,2,UCLA
